@RELATION Tweets
@ATTRIBUTE tweet STRING
@ATTRIBUTE class {0,1,2,3,4}
@DATA
'@switchfoot http://twitpic.com/2y1zl - Awww, thats a bummer.  You shoulda got David Carr of Third Day to do it. ;D', 0
'is upset that he cant update his Facebook by texting it... and might cry as a result  School today also. Blah!', 0
'@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds', 0
'my whole body feels itchy and like its on fire ', 0
'@nationwideclass no, its not behaving at all. im mad. why am i here? because I cant see you all over there. ', 0
'@Kwesidei not the whole crew ', 0
'Need a hug ', 0
'@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , Im fine thanks , hows you ?', 0
'@Tatiana_K nope they didnt have it ', 0
'@twittera que me muera ? ', 0
'spring break in plain city... its snowing ', 0
'I just re-pierced my ears ', 0
'@caregiving I couldnt bear to watch it.  And I thought the UA loss was embarrassing . . . . .', 0
'@octolinz16 It it counts, idk why I did either. you never talk to me anymore ', 0
'@smarrison i wouldve been the first, but i didnt have a gun.    not really though, zac snyders just a doucheclown.', 0
'@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!', 0
'Hollis death scene will hurt me severely to watch on film  wry is directors cut not out now?', 0
'about to file taxes ', 0
'@LettyA ahh ive always wanted to see rent  love the soundtrack!!', 0
'@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ', 0
'@alydesigns i was out most of the day so didnt get much done ', 0
'one of my friend called me, and asked to meet with her at Mid Valley today...but ive no time *sigh* ', 0
'@angry_barista I baked you a cake but I ated it ', 0
'this week is not going as i had hoped ', 0
'blagh class at 8 tomorrow ', 0
'I hate when I have to call and wake people up ', 0
'Just going to cry myself to sleep after watching Marley and Me.  ', 0
'im sad now  Miss.Lilly', 0
'ooooh.... LOL  that leslie.... and ok I wont do it again so leslie wont  get mad again ', 0
'Meh... Almost Lover is the exception... this track gets me depressed every time. ', 0
'some1 hacked my account on aim  now i have to make a new one', 0
'@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though', 0
'thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ', 0
'@julieebaby awe i love you too!!!! 1 am here  i miss you', 0
'@HumpNinja I cry my asian eyes to sleep at night ', 0
'ok Im sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ', 0
'@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...', 0
'@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge', 0
'@fleurylis I dont either. Its depressing. I dont think I even want to know about the kids in suitcases. ', 0
'Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day thats gonna fly by. I miss my girlfriend ', 0
'really dont feel like getting up today... but got to study to for tomorrows practical exam... ', 0
'Hes the reason for the teardrops on my guitar the only one who has enough of me to break my heart ', 0
'Sad, sad, sad. I dont know why but I hate this feeling  I wanna sleep and I still cant!', 0
'@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ', 0
'Falling asleep. Just heard about that Tracy girls body being found. How sad  My heart breaks for that family.', 0
'@Viennah Yay! Im happy for you with your job! But that also means less time for me and you... ', 0
'Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?', 0
'Oh man...was ironing @jeancjumbes fave top to wear to a meeting. Burnt it ', 0
'is strangely sad about LiLo and SamRo breaking up. ', 0
'@tea oh! im so sorry  i didnt think about that before retweeting.', 0
'Broadband plan a massive broken promise http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ', 0
'@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends tweets, youre scrolling the feed a lot. ', 0
'our duck and chicken are taking wayyy too long to hatch ', 0
'Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ', 0
'I need a hug ', 0
'@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ', 0
'@oanhLove I hate when that happens... ', 0
'I have a sad feeling that Dallas is not going to show up  I gotta say though, youd think more shows would use music from the game. mmm', 0
'Ugh....92 degrees tomorrow ', 0
'Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.', 0
'@BatManYNG I miss my ps3, its out of commission  Wutcha playing? Have you copped Blood On The Sand?', 0
'just leaving the parking lot of work! ', 0
'The Life is cool. But not for Me. ', 0
'Sadly though, Ive never gotten to experience the post coitus cigarette before, and now I never will. ', 0
'I had such a nice day. Too bad the rain comes in tomorrow at 5am ', 0
'@Starrbby too bad I wont be around I lost my job and cant even pay my phone bill lmao aw shucks ', 0
'Damm back to school tomorrow ', 0
'Mo jobs, no money.  how in the hell is min wage here 4 fn clams an hour?', 0
